Kierunek;Przystanek;Godzina;Minuta
Stogi Plaża;Władysława IV;10;11
Stogi Plaża;Nowy Port Oliwska;10;12
Stogi Plaża;Przychodnia;10;13
Stogi Plaża;Rybołowców;10;14
Stogi Plaża;Kasztanowa;10;15
Stogi Plaża;Latarnia Morska;10;16
Stogi Plaża;Krasickiego;10;18
Stogi Plaża;Brzeźno Dom Zdrojowy;10;21
Stogi Plaża;Mazurska;10;22
Stogi Plaża;Wczasy;10;23
Stogi Plaża;Dworska;10;25
Stogi Plaża;al. Płażyńskiego;10;26
Stogi Plaża;Grudziądzka;10;28
Stogi Plaża;Kolonia Uroda;10;29
Stogi Plaża;Kościuszki;10;31
Stogi Plaża;Mickiewicza;10;32
Stogi Plaża;Reja;10;33
Stogi Plaża;Wyspiańskiego;10;35
Stogi Plaża;Opera Bałtycka;10;38
Stogi Plaża;Traugutta;10;39
Stogi Plaża;Uniwersytet Medyczny;10;40
Stogi Plaża;Chodowieckiego;10;41
Stogi Plaża;Brama Oliwska;10;42
Stogi Plaża;Dworzec Główny;10;44
Stogi Plaża;Brama Wyżynna;10;47
Stogi Plaża;Okopowa;10;49
Stogi Plaża;Żabi Kruk;10;50
Stogi Plaża;Chmielna;10;51
Stogi Plaża;Akademia Muzyczna;10;53
Stogi Plaża;Brama Żuławska;10;55
Stogi Plaża;Głęboka;10;57
Stogi Plaża;Przeróbka;10;59
Stogi Plaża;Lenartowicza;11;00
Stogi Plaża;Sucharskiego;11;02
Stogi Plaża;Kaczeńce;11;03
Stogi Plaża;Ugory eMOCja;11;04
Stogi Plaża;Zimna;11;05
Stogi Plaża;Stogi;11;07
Stogi Plaża;Rozłogi;11;08
Stogi Plaża;Stogi Plaża;11;10
Brzeźno Dom Zdrojowy;Stogi Plaża;11;29
Brzeźno Dom Zdrojowy;Stogi;11;32
Brzeźno Dom Zdrojowy;Zimna;11;34
Brzeźno Dom Zdrojowy;Ugory eMOCja;11;35
Brzeźno Dom Zdrojowy;Kaczeńce;11;36
Brzeźno Dom Zdrojowy;Sucharskiego;11;38
Brzeźno Dom Zdrojowy;Lenartowicza;11;39
Brzeźno Dom Zdrojowy;Przeróbka;11;40
Brzeźno Dom Zdrojowy;Głęboka;11;42
Brzeźno Dom Zdrojowy;Brama Żuławska;11;44
Brzeźno Dom Zdrojowy;Akademia Muzyczna;11;46
Brzeźno Dom Zdrojowy;Chmielna;11;47
Brzeźno Dom Zdrojowy;Żabi Kruk;11;48
Brzeźno Dom Zdrojowy;Okopowa;11;50
Brzeźno Dom Zdrojowy;Brama Wyżynna;11;52
Brzeźno Dom Zdrojowy;Dworzec Główny;11;54
Brzeźno Dom Zdrojowy;Brama Oliwska;11;57
Brzeźno Dom Zdrojowy;Chodowieckiego;11;58
Brzeźno Dom Zdrojowy;Uniwersytet Medyczny;11;59
Brzeźno Dom Zdrojowy;Traugutta;12;01
Brzeźno Dom Zdrojowy;Opera Bałtycka;12;03
